"Time","Number of processed character values per second"
2021-04-07 07:29:00,0
2021-04-07 07:30:00,0
2021-04-07 07:31:00,0
2021-04-07 07:32:00,0
2021-04-07 07:33:00,0
2021-04-07 07:34:00,0
2021-04-07 07:35:00,0
2021-04-07 07:36:00,0.083
2021-04-07 07:37:00,0
2021-04-07 07:38:00,0
2021-04-07 07:39:00,0
2021-04-07 07:40:00,0
2021-04-07 07:41:00,0
2021-04-07 07:42:00,0
2021-04-07 07:43:00,0
2021-04-07 07:44:00,0
2021-04-07 07:45:00,0
2021-04-07 07:46:00,0
2021-04-07 07:47:00,0
2021-04-07 07:48:00,0
2021-04-07 07:49:00,0
2021-04-07 07:50:00,0
2021-04-07 07:51:00,0.033
2021-04-07 07:52:00,0
2021-04-07 07:53:00,0
2021-04-07 07:54:00,0
2021-04-07 07:55:00,0
2021-04-07 07:56:00,0
2021-04-07 07:57:00,0
2021-04-07 07:58:00,0.033
2021-04-07 07:59:00,0
2021-04-07 08:00:00,0
2021-04-07 08:01:00,0
2021-04-07 08:02:00,0
2021-04-07 08:03:00,0
2021-04-07 08:04:00,0
2021-04-07 08:05:00,0
2021-04-07 08:06:00,0
2021-04-07 08:07:00,0

