"Time","Memory utilization"
2021-04-07 07:29:00,33%
2021-04-07 07:30:00,34%
2021-04-07 07:31:00,34%
2021-04-07 07:32:00,34%
2021-04-07 07:33:00,34%
2021-04-07 07:34:00,34%
2021-04-07 07:35:00,34%
2021-04-07 07:36:00,34%
2021-04-07 07:37:00,34%
2021-04-07 07:38:00,34%
2021-04-07 07:39:00,34%
2021-04-07 07:40:00,34%
2021-04-07 07:41:00,34%
2021-04-07 07:42:00,34%
2021-04-07 07:43:00,34%
2021-04-07 07:44:00,35%
2021-04-07 07:45:00,35%
2021-04-07 07:46:00,37%
2021-04-07 07:47:00,37%
2021-04-07 07:48:00,39%
2021-04-07 07:49:00,43%
2021-04-07 07:50:00,44%
2021-04-07 07:51:00,44%
2021-04-07 07:52:00,47%
2021-04-07 07:53:00,47%
2021-04-07 07:54:00,47%
2021-04-07 07:55:00,47%
2021-04-07 07:56:00,47%
2021-04-07 07:57:00,45%
2021-04-07 07:58:00,43%
2021-04-07 07:59:00,43%
2021-04-07 08:00:00,43%
2021-04-07 08:01:00,43%
2021-04-07 08:02:00,43%
2021-04-07 08:03:00,43%
2021-04-07 08:04:00,43%
2021-04-07 08:05:00,44%
2021-04-07 08:06:00,43%
2021-04-07 08:07:00,44%
2021-04-07 08:08:00,44%

